WannaSurf Spot List — Central America (Geocoded Only)
Scraped: 2026-04-27  |  Total geocoded: 459
======================================================================

Name                                                        Lat          Lon  URL
----------------------------------------------------------------------

## Anguilla
Junk S Hole                                           18.255111   -62.985134  https://wannasurf.com/spot/Central_America/Anguilla/Junk_s_Hole/index.html
Dolphins                                              18.179330   -63.145294  https://wannasurf.com/spot/Central_America/Anguilla/dolphins/index.html

## Antigua
Palmetto Point                                        17.580710   -61.857549  https://wannasurf.com/spot/Central_America/Antigua/Palmetto_Point/index.html

## Aruba
Muraya                                                12.433695   -69.870751  https://wannasurf.com/spot/Central_America/Aruba/Muraya/index.html
Rami Beach                                            12.552397   -69.974656  https://wannasurf.com/spot/Central_America/Aruba/Rami_Beach/index.html
Arashi                                                12.620070   -70.053978  https://wannasurf.com/spot/Central_America/Aruba/arashi/index.html
Dooms                                                 12.616275   -70.044478  https://wannasurf.com/spot/Central_America/Aruba/dooms/index.html
Outside Rogers                                        12.415454   -69.889612  https://wannasurf.com/spot/Central_America/Aruba/outside_rogers/index.html
Wariruri                                              12.559548   -69.987931  https://wannasurf.com/spot/Central_America/Aruba/wariruri/index.html
West Point                                            12.616741   -70.060244  https://wannasurf.com/spot/Central_America/Aruba/west_point/index.html

## Bahamas
Hatchet Bay                                           25.365336   -76.484038  https://wannasurf.com/spot/Central_America/Bahamas/Hatchet_Bay/index.html
Holiday Beach                                         25.401104   -76.541748  https://wannasurf.com/spot/Central_America/Bahamas/Holiday_Beach/index.html
Paradise Island                                       25.089563   -77.325436  https://wannasurf.com/spot/Central_America/Bahamas/Paradise_Island/index.html
Smugglers Beach                                       25.340162   -76.434749  https://wannasurf.com/spot/Central_America/Bahamas/Smugglers_Beach/index.html
Sugar Shack                                           26.520345   -76.967458  https://wannasurf.com/spot/Central_America/Bahamas/Sugar_Shack/index.html
French Bay                                            23.946508   -74.520392  https://wannasurf.com/spot/Central_America/Bahamas/french_bay/index.html
Garbanzo                                              26.507471   -76.973079  https://wannasurf.com/spot/Central_America/Bahamas/garbanzo/index.html
Indicas                                               26.515991   -76.968756  https://wannasurf.com/spot/Central_America/Bahamas/indicas/index.html
Rights                                                26.514383   -76.970730  https://wannasurf.com/spot/Central_America/Bahamas/rights/index.html
Rush Reef                                             26.513188   -76.968133  https://wannasurf.com/spot/Central_America/Bahamas/rush_reef/index.html
Surfers Beach                                         25.382756   -76.525183  https://wannasurf.com/spot/Central_America/Bahamas/surfers_beach/index.html

## Barbados
Dover Beach                                           13.066227   -59.569287  https://wannasurf.com/spot/Central_America/Barbados/Dover_beach/index.html
Gibbs                                                 13.231824   -59.643193  https://wannasurf.com/spot/Central_America/Barbados/Gibbs/index.html
Paradise                                              13.130346   -59.637179  https://wannasurf.com/spot/Central_America/Barbados/Paradise/index.html
Accra Beach - Rockley Beach                           13.072675   -59.590037  https://wannasurf.com/spot/Central_America/Barbados/accra_beach_-_rockley_beach/index.html
Batts Rock                                            13.135043   -59.636348  https://wannasurf.com/spot/Central_America/Barbados/batts_rock/index.html
Brandon                                               13.077200   -59.608367  https://wannasurf.com/spot/Central_America/Barbados/brandon/index.html
