WannaSurf Spot List — Geocoded Spots Only
Scraped: 2026-04-27  |  Total geocoded: 526
======================================================================

Name                                                 Lat          Lon  URL
----------------------------------------------------------------------

## California/Del Norte
Crescent City South Beach                      41.741859  -124.170570  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Crescent_City_South_Beach/index.html
Enderts Beach                                  41.705248  -124.144092  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Enderts_Beach/index.html
Garth S Reef                                   41.770672  -124.244256  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Garth_s_Reef/index.html
Klamath Rivermouth                             41.548929  -124.086285  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Klamath_Rivermouth/index.html
Point Saint George                             41.786137  -124.255076  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Point_Saint_George/index.html
Saint George Reef Lighthouse                   41.841432  -124.375191  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Saint_George_Reef_Lighthouse/index.html
Smithh River   Kellog Road                     41.828514  -124.228592  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Smithh_River_-_Kellog_Road/index.html
Whaler Island                                  41.739185  -124.183896  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Whaler_Island/index.html
Wilson Creek                                   41.603474  -124.101734  https://wannasurf.com/spot/North_America/USA/California/Del_Norte/Wilson_Creek/index.html

## California/Humboldt
Big Lagoon                                     41.160046  -124.135723  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Big_Lagoon/index.html
Bunkers                                        40.774290  -124.225497  https://wannasurf.com/spot/North_America/USA/California/Humboldt/bunkers/index.html
Camel Rock                                     41.035220  -124.123455  https://wannasurf.com/spot/North_America/USA/California/Humboldt/camel_rock/index.html
Cape Mendocino                                 40.411143  -124.393902  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Cape_Mendocino/index.html
Deadman S                                      40.023589  -124.057478  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Deadman_s/index.html
Dry Lagoon                                     41.224376  -124.109373  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Dry_Lagoon/index.html
Gale Point                                     40.015422  -124.041899  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Gale_Point/index.html
Gold Bluffs Beach                              41.384279  -124.071693  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Gold_Bluffs_Beach/index.html
Harbor  Entrance                               40.767152  -124.240780  https://wannasurf.com/spot/North_America/USA/California/Humboldt/harbor__entrance/index.html
Little River   Clam Beach                      41.010734  -124.115982  https://wannasurf.com/spot/North_America/USA/California/Humboldt/Little_river_-_Clam_Beach/index.html
Mckee S Creek                                  39.964359  -123.985627  https://wannasurf.com/spot/North_America/USA/California/Humboldt/McKee_s_Creek/index.html
Moonstone                                      41.031311  -124.117012  https://wannasurf.com/spot/North_America/USA/California/Humboldt/moonstone/index.html
No Pass                                        40.019739  -124.048889  https://wannasurf.com/spot/North_America/USA/California/Humboldt/No_Pass/index.html
North Jetty                                    40.767737  -124.235287  https://wannasurf.com/spot/North_America/USA/California/Humboldt/north_jetty/index.html
